index,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
0,0,5,232.1,102.8,0.9,128.4
1,0,5,233.0,103.9,0.6,128.5
2,0,5,228.2,102.4,0.5,125.3
3,0,5,238.3,106.1,0.6,131.6
4,0,5,225.4,102.0,0.5,123.0
5,0,5,232.8,104.5,0.6,127.7
6,0,5,240.1,106.4,0.6,133.1
7,0,5,233.0,103.7,0.7,128.6
8,0,5,234.9,104.6,0.5,129.7
9,0,5,235.5,105.0,0.9,129.6
10,0,10,201.8,101.0,0.8,100.0
11,0,10,202.3,102.5,0.7,99.0
12,0,10,203.8,102.6,0.7,100.6
13,0,10,198.1,99.8,0.9,97.4
14,0,10,207.2,103.6,0.6,103.1
15,0,10,201.8,101.8,0.7,99.3
16,0,10,200.0,101.1,0.7,98.2
17,0,10,204.2,102.0,0.7,101.5
18,0,10,212.6,105.6,1.2,105.8
19,0,10,209.1,103.5,0.8,104.8
20,0,15,194.8,103.1,0.8,90.9
21,0,15,203.7,106.5,1.0,96.2
22,0,15,199.1,105.5,1.1,92.5
23,0,15,181.2,101.0,0.8,79.4
24,0,15,189.4,101.8,0.8,86.8
25,0,15,175.2,96.1,1.2,77.8
26,0,15,186.8,100.9,1.0,85.0
27,0,15,205.3,107.2,0.8,97.3
28,0,15,192.6,104.5,0.6,87.5
29,0,15,182.2,100.6,1.0,80.7
30,0,20,167.7,94.9,1.4,71.3
31,0,20,172.4,95.2,1.5,75.8
32,0,20,170.2,99.1,1.5,69.6
33,0,20,175.7,99.6,1.5,74.6
34,0,20,172.4,97.4,1.4,73.6
35,0,20,174.4,98.1,1.5,74.8
36,0,20,180.2,102.3,1.4,76.5
37,0,20,184.3,102.8,1.2,80.3
38,0,20,168.4,98.7,1.2,68.5
39,0,20,179.2,99.9,1.3,78.0
40,0,25,168.0,95.0,2.1,70.9
41,0,25,172.0,95.5,1.9,74.6
42,0,25,162.5,91.5,2.1,68.9
43,0,25,164.9,94.5,2.3,68.1
44,0,25,162.5,92.8,2.2,67.5
45,0,25,162.1,92.9,2.4,66.7
46,0,25,158.4,91.5,2.2,64.8
47,0,25,162.2,93.4,2.3,66.4
48,0,25,156.3,91.3,2.3,62.7
49,0,25,155.6,89.0,2.3,64.3
50,0,30,162.1,93.4,2.8,65.9
51,0,30,152.6,89.3,3.4,59.9
52,0,30,160.9,90.5,2.7,67.8
53,0,30,149.1,87.6,3.6,57.9
54,0,30,156.1,89.8,3.4,62.9
55,0,30,159.0,91.6,3.2,64.2
56,0,30,156.7,91.5,3.1,62.1
57,0,30,171.3,97.9,2.7,70.6
58,0,30,146.0,85.2,3.5,57.4
59,0,30,155.7,88.2,3.2,64.3
60,0,35,151.5,94.3,4.5,52.6
61,0,35,143.7,89.3,4.0,50.4
62,0,35,151.4,92.8,4.4,54.3
63,0,35,159.3,92.2,4.4,62.7
64,0,35,161.4,94.1,3.6,63.7
65,0,35,150.0,90.4,4.6,55.0
66,0,35,146.4,88.6,4.8,53.0
67,0,35,147.0,87.7,5.2,54.1
68,0,35,154.5,91.6,3.8,59.1
69,0,35,156.1,90.2,4.3,61.6
